"汉字","读音","第二读音","第三读音","第四读音","ID"
"趁","chen",,,,317
"衬","chen",,,,318
"称","cheng","chen",,,320
"城","cheng",,,,321
"橙","cheng",,,,322
"成","cheng",,,,323
"呈","cheng",,,,324
"乘","cheng","sheng",,,325
"惩","cheng",,,,327
"澄","cheng",,,,328
"诚","cheng",,,,329
"承","cheng",,,,330
"逞","cheng",,,,331
"骋","cheng",,,,332
"秤","cheng",,,,333
"痴","chi",,,,335
"持","chi",,,,336
"匙","chi","shi",,,337
"池","chi",,,,338
"迟","chi",,,,339
"驰","chi",,,,341
"耻","chi",,,,342
"齿","chi",,,,343
"侈","chi",,,,344
"尺","chi",,,,345
"翅","chi",,,,347
"斥","chi",,,,348
"炽","chi",,,,349
"充","chong",,,,350
"冲","chong",,,,351
"崇","chong",,,,353
"宠","chong",,,,354
"抽","chou",,,,355
"酬","chou",,,,356
"畴","chou",,,,357
"踌","chou",,,,358
"稠","chou",,,,359
"筹","chou",,,,361
"仇","chou",,,,362
"绸","chou",,,,363
"瞅","chou",,,,364
"丑","chou",,,,365
"初","chu",,,,367
"出","chu",,,,368
"橱","chu",,,,369
"厨","chu",,,,370
"躇","chu",,,,371
"锄","chu",,,,372
"雏","chu",,,,373
"滁","chu",,,,374
"楚","chu",,,,376
"础","chu",,,,377
"储","chu",,,,378
"矗","chu",,,,379
"搐","chu",,,,380
"处","chu",,,,382
"揣","chuai",,,,383
"川","chuan",,,,384
"穿","chuan",,,,385
"椽","chuan",,,,386
"船","chuan",,,,388
"喘","chuan",,,,389
"串","chuan",,,,390
"疮","chuang",,,,391
"窗","chuang",,,,392
"幢","chuang","zhuang",,,393
"床","chuang",,,,394
"闯","chuang",,,,395
"创","chuang",,,,396
"炊","chui",,,,398
"捶","chui",,,,399
"锤","chui",,,,400
"垂","chui",,,,401
"春","chun",,,,402
"椿","chun",,,,403
"唇","chun",,,,405
"淳","chun",,,,406
"纯","chun",,,,407
"蠢","chun",,,,408
"戳","chuo",,,,409
"疵","ci",,,,411
"茨","ci",,,,412
"磁","ci",,,,413
"雌","ci",,,,414
"辞","ci",,,,415
"慈","ci",,,,416
"瓷","ci",,,,417
"词","ci",,,,418
"刺","ci",,,,420
"赐","ci",,,,421
"次","ci",,,,422
"聪","cong",,,,423
"葱","cong",,,,424
"匆","cong",,,,426
"从","cong",,,,427
"丛","cong",,,,428
"凑","cou",,,,429
"粗","cu",,,,430
"醋","cu",,,,431
"促","cu",,,,433
"蹿","cuan",,,,434
"篡","cuan",,,,435
"窜","cuan",,,,436
"崔","cui",,,,438
"催","cui",,,,439
"脆","cui",,,,440
"瘁","cui",,,,441
"粹","cui",,,,442
"淬","cui",,,,443
"翠","cui",,,,444
"存","cun",,,,446
"寸","cun",,,,447
"磋","cuo",,,,448
"撮","cuo",,,,449
"搓","cuo",,,,450
"挫","cuo",,,,452
"错","cuo",,,,453
"搭","da",,,,454
"达","da",,,,455
"答","da",,,,456
"打","da",,,,458
"大","da","tai",,,459
"呆","dai",,,,460
"歹","dai",,,,461
"傣","dai",,,,462
"带","dai",,,,464
"殆","dai",,,,465
"代","dai",,,,466
"贷","dai",,,,467
"袋","dai",,,,468
"逮","dai",,,,470
"怠","dai",,,,471
"耽","dan",,,,472
"担","dan",,,,473
"丹","dan",,,,474
"单","dan",,,,475
"掸","dan",,,,477
"胆","dan",,,,478
"旦","dan",,,,479
"氮","dan",,,,480
"但","dan",,,,481
"淡","dan",,,,483
"诞","dan",,,,484
"弹","dan","tan",,,485
"蛋","dan",,,,486
"当","dang",,,,487
"党","dang",,,,489
"荡","dang",,,,490
"档","dang",,,,491
"刀","dao",,,,492
"捣","dao",,,,493
"蹈","dao",,,,494
"岛","dao",,,,496
"祷","dao",,,,497
"导","dao",,,,498
"到","dao",,,,499
"稻","dao",,,,500
"道","dao",,,,502
"盗","dao",,,,503
"德","de",,,,504
"得","de",,,,505
"的","de","di",,,506
"灯","deng",,,,508
"登","deng",,,,509
"等","deng",,,,510
"瞪","deng",,,,511
"凳","deng",,,,512
"邓","deng",,,,513
"低","di",,,,515
"滴","di",,,,516
"迪","di",,,,517
"敌","di",,,,518
"笛","di",,,,519
"涤","di",,,,521
"翟","di","zhai",,,522
"嫡","di",,,,523
"抵","di",,,,524
"底","di",,,,525
"蒂","di",,,,527
"第","di",,,,528
"帝","di",,,,529
"弟","di",,,,530
"递","di",,,,531
"颠","dian",,,,533
"掂","dian",,,,534
"滇","dian",,,,535
"碘","dian",,,,536
"点","dian",,,,537
"靛","dian",,,,539
"垫","dian",,,,540
"电","dian",,,,541
"佃","dian",,,,542
"甸","dian",,,,543
"店","dian",,,,544
"奠","dian",,,,546
"淀","dian",,,,547
"殿","dian",,,,548
"碉","diao",,,,549
"叼","diao",,,,550
"雕","diao",,,,551
"刁","diao",,,,553
"掉","diao",,,,554
"吊","diao",,,,555
"钓","diao",,,,556
"调","diao","tiao",,,557
"爹","die",,,,559
"碟","die",,,,560
"蝶","die",,,,561
"迭","die",,,,562
"谍","die",,,,563
"叠","die",,,,564
"盯","ding",,,,566
"叮","ding",,,,567
"钉","ding",,,,568
"顶","ding",,,,569
"鼎","ding",,,,570
"定","ding",,,,572
"订","ding",,,,573
"丢","diu",,,,574
"东","dong",,,,575
"冬","dong",,,,576
"董","dong",,,,577
"动","dong",,,,579
"栋","dong",,,,580
"侗","dong",,,,581
"恫","dong",,,,582
"冻","dong",,,,583
"洞","dong",,,,584
"抖","dou",,,,586
"斗","dou",,,,587
"陡","dou",,,,588
"豆","dou",,,,589
"逗","dou",,,,590
"痘","dou",,,,591
"督","du",,,,593
"毒","du",,,,594
"犊","du",,,,595
"独","du",,,,596
"读","du",,,,597
"堵","du",,,,598
"赌","du",,,,600
"杜","du",,,,601
"镀","du",,,,602
"肚","du",,,,603
"度","du","duo",,,604
"妒","du",,,,606
"端","duan",,,,607
"短","duan",,,,608
"锻","duan",,,,609
"段","duan",,,,610
"缎","duan",,,,612
"堆","dui",,,,613
"兑","dui",,,,614
"队","dui",,,,615
"对","dui",,,,616
"吨","dun",,,,618
"蹲","dun",,,,619
"敦","dun","dui",,,620
"顿","dun",,,,621
"囤","dun","tun",,,622
"钝","dun",,,,623
"遁","dun",,,,625
"掇","duo",,,,626
"哆","duo",,,,627
"多","duo",,,,628
"夺","duo",,,,629
"躲","duo",,,,631
"朵","duo",,,,632
"跺","duo",,,,633
"舵","duo",,,,634
"剁","duo",,,,635
"堕","duo",,,,637
"蛾","e",,,,638
"峨","e",,,,639
"鹅","e",,,,640
"俄","e",,,,641
"讹","e",,,,643
"娥","e",,,,644
"恶","e","wu",,,645
"厄","e",,,,646
"扼","e",,,,647
"鄂","e",,,,649
"饿","e",,,,650
"恩","en",,,,651
"而","er",,,,652
"耳","er",,,,654
"尔","er",,,,655
"饵","er",,,,656
"洱","er",,,,657
"二","er",,,,658
"发","fa",,,,660
"罚","fa",,,,661
"筏","fa",,,,662
"伐","fa",,,,663
"阀","fa",,,,665
"法","fa",,,,666
"珐","fa",,,,667
"藩","fan",,,,668
"帆","fan",,,,669
"翻","fan",,,,671
"樊","fan",,,,672
"矾","fan",,,,673
"钒","fan",,,,674
"繁","fan",,,,675
"烦","fan",,,,677
"反","fan",,,,678
"返","fan",,,,679
"范","fan",,,,680
"贩","fan",,,,681
"犯","fan",,,,682
"泛","fan",,,,684
"坊","fang",,,,685
"芳","fang",,,,686
"方","fang",,,,687
"肪","fang",,,,688
"防","fang",,,,690
"妨","fang",,,,691
"仿","fang",,,,692
"访","fang",,,,693
"纺","fang",,,,694
"放","fang",,,,695
"非","fei",,,,697
"啡","fei",,,,698
"飞","fei",,,,699
"肥","fei",,,,700
"匪","fei",,,,701
"吠","fei",,,,703
"肺","fei",,,,704
"废","fei",,,,705
"沸","fei",,,,706
"费","fei",,,,707
"酚","fen",,,,709
"吩","fen",,,,710
"氛","fen",,,,711
"分","fen",,,,712
"纷","fen",,,,713
"焚","fen",,,,715
"汾","fen",,,,716
"粉","fen",,,,717
"奋","fen",,,,718
"份","fen",,,,719
"忿","fen",,,,720
"粪","fen",,,,722
"丰","feng",,,,723
"封","feng",,,,724
"枫","feng",,,,725
"蜂","feng",,,,726
"锋","feng",,,,728
"风","feng",,,,729
"疯","feng",,,,730
"烽","feng",,,,731
"逢","feng",,,,732
"冯","feng","ping",,,733
"讽","feng",,,,735
"奉","feng",,,,736
"凤","feng",,,,737
"佛","fo",,,,738
"否","fou","pi",,,739
"夫","fu",,,,740
"肤","fu",,,,742
"孵","fu",,,,743
"扶","fu",,,,744
"拂","fu",,,,745
"幅","fu",,,,747
"氟","fu",,,,748
"符","fu",,,,749
"伏","fu",,,,750
"俘","fu",,,,751
"浮","fu",,,,753
"涪","fu",,,,754
"福","fu",,,,755
"袱","fu",,,,756
"弗","fu",,,,757
"抚","fu",,,,759
"辅","fu",,,,760
"俯","fu",,,,761
"釜","fu",,,,762
"斧","fu",,,,763
"腑","fu",,,,765
"府","fu",,,,766
"腐","fu",,,,767
"赴","fu",,,,768
"覆","fu",,,,770
"赋","fu",,,,771
"复","fu",,,,772
"傅","fu",,,,773
"付","fu",,,,774
"父","fu",,,,776
"腹","fu",,,,777
"负","fu",,,,778
"富","fu",,,,779
"讣","fu",,,,780
"妇","fu",,,,782
"缚","fu",,,,783
"咐","fu",,,,784
"噶","ga",,,,785
"嘎","ga",,,,786
"改","gai",,,,788
"概","gai",,,,789
"钙","gai",,,,790
"盖","gai",,,,791
"溉","gai",,,,792
"甘","gan",,,,794
"杆","gan",,,,795
"柑","gan",,,,796
"竿","gan",,,,797
"肝","gan",,,,798
"感","gan",,,,800
"秆","gan",,,,801
"敢","gan",,,,802
"赣","gan",,,,803
"冈","gang",,,,804
"钢","gang",,,,806
"缸","gang",,,,807
"肛","gang",,,,808
"纲","gang",,,,809
"岗","gang",,,,810
"港","gang",,,,811
"篙","gao",,,,813
"皋","gao",,,,814
"高","gao",,,,815
"膏","gao",,,,816
"羔","gao",,,,817
"糕","gao",,,,818
"镐","gao",,,,820
"稿","gao",,,,821
"告","gao","gu",,,822
"哥","ge",,,,823
"歌","ge",,,,824
"戈","ge",,,,826
"鸽","ge",,,,827
"胳","ge",,,,828
"疙","ge",,,,829
"割","ge",,,,830
"葛","ge",,,,832
"格","ge",,,,833
"蛤","ge","ha",,,834
"阁","ge",,,,835
"隔","ge",,,,836
"个","ge",,,,838
"各","ge",,,,839
"给","gei","ji",,,840
"根","gen",,,,841
"耕","geng",,,,843
"更","geng",,,,844
"庚","geng",,,,845
"羹","geng",,,,846
"埂","geng",,,,847
"耿","geng",,,,848
"工","gong",,,,850
"攻","gong",,,,851
"功","gong",,,,852
"恭","gong",,,,853
"龚","gong",,,,854
